tile	nucleus	intensity
2	1	482758
2	2	2353659
2	3	1611077
2	4	3839879
2	5	2557351
2	6	1573640
2	7	552897
2	8	1191712
2	9	2810333
2	10	403335
2	11	2004673
2	12	199371
2	13	5111455
2	14	1583396
2	15	64930
2	16	2484475
2	17	5336927
2	18	2146090
2	19	727520
2	20	903842
2	21	165161
2	22	2455879
2	23	195476
2	24	4039358
2	25	1137042
2	26	2867151
2	27	1036000
2	28	1681561
2	29	503164
2	30	1101275
2	31	214114
2	32	1054556
2	33	732886
2	34	1003947
2	35	437893
2	36	1933479
2	37	1249011
2	38	841001
2	39	267966
2	40	1070021
2	41	1324748
2	42	1276885
2	43	345711
3	1	4835758
3	2	1625443
3	3	359532
3	4	5332987
3	5	4092351
3	6	4731279
3	7	1506623
3	8	6116108
3	9	526649
3	10	3650015
3	11	3952299
3	12	5717359
3	13	32432
3	14	4112613
3	15	8612335
3	16	5955407
3	17	1487380
3	18	801740
3	19	1077903
3	20	10352889
3	21	4152733
3	22	214841
3	23	277597
3	24	1046341
3	25	6763185
3	26	6685282
3	27	2244541
3	28	194536
3	29	6063566
3	30	218556
3	31	5374843
3	32	3866047
3	33	8663120
3	34	4866832
3	35	5047969
3	36	2854119
3	37	3805530
3	38	1525660
3	39	4246358
3	40	5175267
3	41	2612006
3	42	843937
3	43	247440
3	44	2263323
3	45	2151665
3	46	4749011
3	47	3639880
3	48	3372259
3	49	1058476
3	50	1911232
3	51	3987137
3	52	179440
3	53	749832
3	54	168998
3	55	1152339
3	56	358585
4	1	2909449
4	2	2239537
4	3	663991
4	4	1278082
4	5	3929228
4	6	1537158
4	7	1957032
4	8	3310535
4	9	1999465
4	10	758756
4	11	1466383
4	12	311840
4	13	3759610
4	14	4515520
4	15	4402563
4	16	2089905
4	17	1037546
4	18	2217885
4	19	443852
4	20	3609394
4	21	2145515
4	22	3092259
4	23	1228275
4	24	5568853
4	25	4025338
4	26	2273609
4	27	3770740
4	28	97834
4	29	5017153
4	30	4813102
4	31	8917378
4	32	196272
4	33	8346922
4	34	1268669
4	35	6286456
4	36	811212
4	37	4311798
4	38	202878
4	39	1648785
4	40	5524971
4	41	238052
4	42	456988
4	43	2743855
4	44	1594690
4	45	3779327
4	46	385901
4	47	3572036
4	48	2376862
4	49	4377523
4	50	2990597
4	51	1951717
4	52	2740865
4	53	2946220
4	54	4064916
4	55	4982430
4	56	252651
4	57	4275983
4	58	467536
4	59	1401217
4	60	510243
4	61	247659
4	62	2088785
4	63	2793370
4	64	1009002
5	1	3629105
5	2	3138192
5	3	856541
5	4	3324177
5	5	2949939
5	6	1355424
5	7	7207646
5	8	1084423
5	9	235277
5	10	790055
5	11	2245081
5	12	1735387
5	13	6411506
5	14	3981888
5	15	4652672
5	16	1897596
5	17	2389334
5	18	1216120
